ENSEMBL,AZD1775,Olap.AZD1775,Olaparib,ENTREZID,SYMBOL,GENENAME
ENSG00000164609,1,0,1,10569,SLU7,"SLU7 homolog, splicing factor"
ENSG00000055147,1,0,1,10827,FAM114A2,family with sequence similarity 114 member A2
ENSG00000132912,1,0,1,51164,DCTN4,dynactin subunit 4
ENSG00000230551,1,0,1,,,
ENSG00000164284,1,0,1,134266,GRPEL2,"GrpE like 2, mitochondrial"
ENSG00000133706,1,0,1,51520,LARS,leucyl-tRNA synthetase
ENSG00000145817,1,0,1,81555,YIPF5,Yip1 domain family member 5
ENSG00000094880,1,0,1,8697,CDC23,cell division cycle 23
ENSG00000112981,1,0,1,8382,NME5,NME/NM23 family member 5
ENSG00000181904,1,0,1,134553,C5orf24,chromosome 5 open reading frame 24
ENSG00000164615,1,0,1,819,CAMLG,calcium modulating ligand
ENSG00000152700,1,0,1,51128,SAR1B,secretion associated Ras related GTPase 1B
ENSG00000113583,1,0,1,56951,C5orf15,chromosome 5 open reading frame 15
ENSG00000186687,1,0,1,90624,LYRM7,LYR motif containing 7
ENSG00000066583,1,0,1,51015,ISOC1,isochorismatase domain containing 1
ENSG00000260686,1,0,1,,,
ENSG00000145782,1,0,1,9140,ATG12,autophagy related 12
ENSG00000134970,1,0,1,51014,TMED7,transmembrane p24 trafficking protein 7
ENSG00000164209,1,0,1,91137,SLC25A46,solute carrier family 25 member 46
ENSG00000056097,1,0,1,51663,ZFR,zinc finger RNA binding protein
ENSG00000168556,-1,0,-1,3622,ING2,inhibitor of growth family member 2
ENSG00000109436,-1,0,-1,23158,TBC1D9,TBC1 domain family member 9
ENSG00000231160,1,0,1,79667,KLF3-AS1,KLF3 antisense RNA 1
ENSG00000168924,-1,0,-1,3954,LETM1,leucine zipper and EF-hand containing transmembrane protein 1
ENSG00000013810,-1,0,-1,10460,TACC3,transforming acidic coiled-coil containing protein 3
ENSG00000174137,-1,0,-1,152877,FAM53A,family with sequence similarity 53 member A
ENSG00000196810,-1,0,-1,,,
ENSG00000159692,-1,0,-1,1487,CTBP1,C-terminal binding protein 1
ENSG00000178950,-1,0,-1,2580,GAK,cyclin G associated kinase
ENSG00000163577,1,0,1,56648,EIF5A2,eukaryotic translation initiation factor 5A2
ENSG00000071794,1,0,1,6596,HLTF,helicase like transcription factor
ENSG00000113971,1,0,1,27031,NPHP3,nephrocystin 3
ENSG00000001617,-1,0,-1,6405,SEMA3F,semaphorin 3F
ENSG00000163517,-1,0,-1,79885,HDAC11,histone deacetylase 11
ENSG00000086619,1,0,1,56605,ERO1B,endoplasmic reticulum oxidoreductase 1 beta
ENSG00000143321,-1,0,-1,3068,HDGF,heparin binding growth factor
ENSG00000143390,-1,0,-1,5993,RFX5,regulatory factor X5
ENSG00000185946,1,0,1,55599,RNPC3,"RNA binding region (RNP1, RRM) containing 3"
ENSG00000154222,-1,0,-1,200014,CC2D1B,coiled-coil and C2 domain containing 1B
ENSG00000130775,-1,0,-1,9473,THEMIS2,thymocyte selection associated family member 2
ENSG00000162551,-1,0,-1,249,ALPL,"alkaline phosphatase, biomineralization associated"
ENSG00000117115,-1,0,-1,11240,PADI2,peptidyl arginine deiminase 2
ENSG00000215700,1,0,0,,,
ENSG00000215781,0,0,1,,,
ENSG00000215608,-1,0,0,,,
ENSG00000210196,1,0,0,,,
ENSG00000210151,1,0,0,,,
ENSG00000210144,1,0,0,,,
ENSG00000210140,1,0,0,,,
ENSG00000210135,1,0,0,,,
ENSG00000160310,-1,0,0,3275,PRMT2,protein arginine methyltransferase 2
ENSG00000182362,1,0,0,54059,YBEY,ybeY metalloendoribonuclease
ENSG00000160294,-1,0,0,8888,MCM3AP,minichromosome maintenance complex component 3 associated protein
ENSG00000160285,-1,0,0,4047,LSS,lanosterol synthase
ENSG00000173638,-1,0,0,6573,SLC19A1,solute carrier family 19 member 1
ENSG00000184787,-1,0,0,7327,UBE2G2,ubiquitin conjugating enzyme E2 G2
ENSG00000160226,-1,0,0,755,CFAP410,cilia and flagella associated protein 410
ENSG00000141959,-1,0,0,5211,PFKL,"phosphofructokinase, liver type"
ENSG00000160223,-1,0,0,23308,ICOSLG,inducible T cell costimulator ligand
ENSG00000267913,0,0,1,,,
ENSG00000241945,-1,0,0,5822,PWP2,PWP2 small subunit processome component
ENSG00000160218,-1,0,0,7109,TRAPPC10,trafficking protein particle complex 10
ENSG00000160216,-1,0,0,56894,AGPAT3,1-acylglycerol-3-phosphate O-acyltransferase 3
ENSG00000160214,-1,0,0,8568,RRP1,ribosomal RNA processing 1
ENSG00000160209,-1,0,0,105372824,LOC105372824,uncharacterized LOC105372824
ENSG00000160209,-1,0,0,8566,PDXK,pyridoxal kinase
ENSG00000160208,-1,0,0,23076,RRP1B,ribosomal RNA processing 1B
ENSG00000142178,-1,0,0,150094,SIK1,salt inducible kinase 1
ENSG00000160200,-1,0,0,875,CBS,cystathionine-beta-synthase
ENSG00000160190,-1,0,0,54020,SLC37A1,solute carrier family 37 member 1
ENSG00000177398,-1,0,0,89766,UMODL1,uromodulin like 1
ENSG00000157617,-1,0,0,25966,C2CD2,C2 calcium dependent domain containing 2
ENSG00000183421,-1,0,0,54101,RIPK4,receptor interacting serine/threonine kinase 4
ENSG00000184012,-1,0,0,7113,TMPRSS2,transmembrane serine protease 2
ENSG00000183486,0,0,1,4600,MX2,MX dynamin like GTPase 2
ENSG00000182240,-1,0,0,25825,BACE2,beta-secretase 2
ENSG00000157578,1,0,0,150082,LCA5L,lebercilin LCA5 like
ENSG00000182093,1,0,0,7485,WRB,tryptophan rich basic protein
ENSG00000183527,1,0,0,8624,PSMG1,proteasome assembly chaperone 1
ENSG00000157538,-1,0,0,10311,VPS26C,VPS26 endosomal protein sorting factor C
ENSG00000182670,-1,0,0,7267,TTC3,tetratricopeptide repeat domain 3
ENSG00000159259,0,0,-1,8208,CHAF1B,chromatin assembly factor 1 subunit B
ENSG00000159231,1,0,0,874,CBR3,carbonyl reductase 3
ENSG00000226054,1,0,0,,,
ENSG00000189089,-1,0,0,,,
ENSG00000185917,1,0,0,54093,SETD4,SET domain containing 4
ENSG00000231106,0,0,-1,,,
ENSG00000159216,-1,0,0,100506403,LOC100506403,uncharacterized LOC100506403
ENSG00000159216,-1,0,0,861,RUNX1,RUNX family transcription factor 1
ENSG00000205670,1,0,0,54065,SMIM11A,small integral membrane protein 11A
ENSG00000243927,1,0,0,64968,MRPS6,mitochondrial ribosomal protein S6
ENSG00000241837,1,0,0,539,ATP5PO,ATP synthase peripheral stalk subunit OSCP
ENSG00000205758,1,0,0,9946,CRYZL1,crystallin zeta like 1
ENSG00000142188,1,0,0,757,TMEM50B,transmembrane protein 50B
ENSG00000159086,1,0,0,94104,PAXBP1,PAX3 and PAX7 binding protein 1
ENSG00000159079,1,0,0,56683,CFAP298,cilia and flagella associated protein 298
ENSG00000256073,1,0,0,84996,URB1-AS1,URB1 antisense RNA 1 (head to head)
ENSG00000142168,1,0,0,6647,SOD1,superoxide dismutase 1
ENSG00000156253,1,0,0,10069,RWDD2B,RWD domain containing 2B
ENSG00000156239,1,0,0,29104,N6AMT1,N-6 adenine-specific DNA methyltransferase 1
ENSG00000215326,1,0,0,,,
ENSG00000273492,1,0,0,,,
ENSG00000154723,1,0,0,522,ATP5PF,ATP synthase peripheral stalk subunit F6
ENSG00000154719,1,0,0,54148,MRPL39,mitochondrial ribosomal protein L39
ENSG00000154645,1,0,0,140578,CHODL,chondrolectin
ENSG00000154642,1,0,0,54149,C21orf91,chromosome 21 open reading frame 91
ENSG00000154640,1,0,0,10950,BTG3,BTG anti-proliferation factor 3
ENSG00000155304,1,0,0,6782,HSPA13,heat shock protein family A (Hsp70) member 13
ENSG00000185272,1,0,0,54033,RBM11,RNA binding motif protein 11
ENSG00000229231,-1,0,0,,,
ENSG00000100312,-1,0,0,49,ACR,acrosin
ENSG00000251322,-1,0,0,85358,SHANK3,SH3 and multiple ankyrin repeat domains 3
ENSG00000008735,-1,0,0,23542,MAPK8IP2,mitogen-activated protein kinase 8 interacting protein 2
ENSG00000205559,1,0,0,100144603,CHKB-DT,CHKB divergent transcript
ENSG00000130489,1,0,0,9997,SCO2,SCO cytochrome c oxidase assembly protein 2
ENSG00000128165,-1,0,0,79924,ADM2,adrenomedullin 2
ENSG00000100241,-1,0,0,6305,SBF1,SET binding factor 1
ENSG00000100239,-1,0,0,9701,PPP6R2,protein phosphatase 6 regulatory subunit 2
ENSG00000196576,-1,0,0,23654,PLXNB2,plexin B2
ENSG00000128159,-1,0,0,85378,TUBGCP6,tubulin gamma complex associated protein 6
ENSG00000100427,0,0,1,23209,MLC1,modulator of VRAC current 1
ENSG00000182858,-1,0,0,79087,ALG12,"ALG12 alpha-1,6-mannosyltransferase"
ENSG00000100426,-1,0,0,9889,ZBED4,zinc finger BED-type containing 4
ENSG00000100425,-1,0,0,23774,BRD1,bromodomain containing 1
ENSG00000054611,-1,0,0,25771,TBC1D22A,TBC1 domain family member 22A
ENSG00000260708,1,0,0,,,
ENSG00000075240,-1,0,0,23151,GRAMD4,GRAM domain containing 4
ENSG00000075275,-1,0,0,9620,CELSR1,cadherin EGF LAG seven-pass G-type receptor 1
ENSG00000186951,-1,0,0,5465,PPARA,peroxisome proliferator activated receptor alpha
ENSG00000241990,1,0,0,,,
ENSG00000231711,1,0,0,,,
ENSG00000100364,-1,0,0,23313,KIAA0930,KIAA0930
ENSG00000226328,1,0,0,,,
ENSG00000188636,-1,0,0,84247,RTL6,retrotransposon Gag like 6
ENSG00000188677,0,0,1,29780,PARVB,parvin beta
ENSG00000159307,-1,0,0,80274,SCUBE1,"signal peptide, CUB domain and EGF like domain containing 1"
ENSG00000100304,-1,0,0,23170,TTLL12,tubulin tyrosine ligase like 12
ENSG00000100266,-1,0,0,11252,PACSIN2,protein kinase C and casein kinase substrate in neurons 2
ENSG00000234009,1,0,0,,,
ENSG00000128274,0,0,1,53947,A4GALT,"alpha 1,4-galactosyltransferase (P blood group)"
ENSG00000249222,1,0,0,267020,ATP5MGL,ATP synthase membrane subunit g like
ENSG00000100243,-1,0,0,1727,CYB5R3,cytochrome b5 reductase 3
ENSG00000100227,-1,0,0,84271,POLDIP3,DNA polymerase delta interacting protein 3
ENSG00000183569,1,0,0,253190,SERHL2,serine hydrolase like 2
ENSG00000172250,1,0,0,94009,SERHL,serine hydrolase like (pseudogene)
ENSG00000100207,-1,0,0,6942,TCF20,transcription factor 20
ENSG00000213790,1,0,0,,,
ENSG00000184983,1,0,0,4700,NDUFA6,NADH:ubiquinone oxidoreductase subunit A6
ENSG00000183172,1,0,0,91689,SMDT1,single-pass membrane protein with aspartate rich tail 1
ENSG00000198951,-1,0,0,4668,NAGA,alpha-N-acetylgalactosaminidase
ENSG00000198911,-1,0,0,6721,SREBF2,sterol regulatory element binding transcription factor 2
ENSG00000184208,-1,0,0,79640,C22orf46,CTA-216E10.6
ENSG00000100412,-1,0,0,50,ACO2,aconitase 2
ENSG00000100410,1,0,0,84844,PHF5A,PHD finger protein 5A
ENSG00000167074,-1,0,0,7008,TEF,"TEF transcription factor, PAR bZIP family member"
ENSG00000100403,-1,0,0,23264,ZC3H7B,zinc finger CCCH-type containing 7B
ENSG00000100395,-1,0,0,83746,L3MBTL2,L3MBTL histone methyl-lysine binding protein 2
ENSG00000100387,1,0,0,9978,RBX1,ring-box 1
ENSG00000100372,1,0,0,10478,SLC25A17,solute carrier family 25 member 17
ENSG00000196588,-1,0,0,57591,MRTFA,myocardin related transcription factor A
ENSG00000100359,-1,0,0,27352,SGSM3,small G protein signaling modulator 3
ENSG00000239900,1,0,0,158,ADSL,adenylosuccinate lyase
ENSG00000133477,-1,0,0,113828,FAM83F,family with sequence similarity 83 member F
ENSG00000100335,-1,0,0,54471,MIEF1,mitochondrial elongation factor 1
ENSG00000128268,-1,0,0,4248,MGAT3,"mannosyl (beta-1,4-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase"
ENSG00000100324,-1,0,0,10454,TAB1,TGF-beta activated kinase 1 (MAP3K7) binding protein 1
ENSG00000100311,-1,0,0,5155,PDGFB,platelet derived growth factor subunit B
ENSG00000100307,-1,0,0,23492,CBX7,chromobox 7
ENSG00000183741,-1,0,0,23466,CBX6,chromobox 6
ENSG00000100242,-1,0,0,25777,SUN2,Sad1 and UNC84 domain containing 2
ENSG00000100226,-1,0,0,9567,GTPBP1,GTP binding protein 1
ENSG00000100221,-1,0,0,9929,JOSD1,Josephin domain containing 1
ENSG00000100216,1,0,0,56993,TOMM22,translocase of outer mitochondrial membrane 22
ENSG00000100206,1,0,0,11144,DMC1,DNA meiotic recombinase 1
ENSG00000213923,-1,0,0,1454,CSNK1E,casein kinase 1 epsilon
ENSG00000198792,-1,0,0,25829,TMEM184B,transmembrane protein 184B
ENSG00000100146,-1,0,0,6663,SOX10,SRY-box 10
ENSG00000100142,1,0,0,5435,POLR2F,RNA polymerase II subunit F
ENSG00000100139,-1,0,0,85377,MICALL1,MICAL like 1
ENSG00000100106,-1,0,0,11078,TRIOBP,TRIO and F-actin binding protein
ENSG00000100097,1,0,0,3956,LGALS1,galectin 1
ENSG00000100083,-1,0,0,26088,GGA1,"golgi associated, gamma adaptin ear containing, ARF binding protein 1"
ENSG00000100065,-1,0,0,29775,CARD10,caspase recruitment domain family member 10
ENSG00000100379,0,0,1,79734,KCTD17,potassium channel tetramerization domain containing 17
ENSG00000100350,-1,0,0,80020,FOXRED2,FAD dependent oxidoreductase domain containing 2
ENSG00000237668,1,0,0,,,
ENSG00000100320,-1,0,0,23543,RBFOX2,RNA binding fox-1 homolog 2
ENSG00000100297,0,0,-1,4174,MCM5,minichromosome maintenance complex component 5
ENSG00000100234,0,0,1,7078,TIMP3,TIMP metallopeptidase inhibitor 3
ENSG00000100170,-1,0,0,6523,SLC5A1,solute carrier family 5 member 1
ENSG00000100150,-1,0,0,9681,DEPDC5,DEP domain containing 5
ENSG00000214093,1,0,0,,,
ENSG00000198089,-1,0,0,9814,SFI1,SFI1 centrin binding protein
ENSG00000184708,-1,0,0,56478,EIF4ENIF1,eukaryotic translation initiation factor 4E nuclear import factor 1
ENSG00000185721,1,0,0,4733,DRG1,developmentally regulated GTP binding protein 1
ENSG00000182541,-1,0,0,3985,LIMK2,LIM domain kinase 2
ENSG00000138942,-1,0,0,91445,RNF185,ring finger protein 185
ENSG00000185133,-1,0,0,27124,INPP5J,inositol polyphosphate-5-phosphatase J
ENSG00000198832,1,0,0,140606,SELENOM,selenoprotein M
ENSG00000273387,0,0,-1,,,
ENSG00000133422,-1,0,0,22880,MORC2,MORC family CW-type zinc finger 2
ENSG00000184792,-1,0,0,23762,OSBP2,oxysterol binding protein 2
ENSG00000099995,-1,0,0,10291,SF3A1,splicing factor 3a subunit 1
ENSG00000128342,-1,0,0,3976,LIF,LIF interleukin 6 family cytokine
ENSG00000225971,1,0,0,,,
ENSG00000100330,-1,0,0,8897,MTMR3,myotubularin related protein 3
ENSG00000100325,-1,0,0,84164,ASCC2,activating signal cointegrator 1 complex subunit 2
ENSG00000184076,1,0,0,29796,UQCR10,"ubiquinol-cytochrome c reductase, complex III subunit X"
ENSG00000186575,-1,0,0,4771,NF2,neurofibromin 2
ENSG00000100280,-1,0,0,162,AP1B1,adaptor related protein complex 1 subunit beta 1
ENSG00000185340,-1,0,0,10634,GAS2L1,growth arrest specific 2 like 1
ENSG00000100263,-1,0,0,25807,RHBDD3,rhomboid domain containing 3
ENSG00000183762,-1,0,0,83999,KREMEN1,kringle containing transmembrane protein 1
ENSG00000272858,1,0,0,,,
ENSG00000226471,1,0,0,,,
ENSG00000100209,1,0,0,150274,HSCB,HscB mitochondrial iron-sulfur cluster cochaperone
ENSG00000213707,1,0,0,,,
ENSG00000100109,-1,0,0,24144,TFIP11,tuftelin interacting protein 11
ENSG00000100099,-1,0,0,89781,HPS4,HPS4 biogenesis of lysosomal organelles complex 3 subunit 2
ENSG00000197077,-1,0,0,85379,KIAA1671,KIAA1671
ENSG00000167037,0,0,1,129049,SGSM1,small G protein signaling modulator 1
ENSG00000100031,-1,0,0,2678,GGT1,gamma-glutamyltransferase 1
ENSG00000138867,-1,0,0,83606,GUCD1,guanylyl cyclase domain containing 1
ENSG00000100014,-1,0,0,23384,SPECC1L,sperm antigen with calponin homology and coiled-coil domains 1 like
ENSG00000099998,0,0,1,2687,GGT5,gamma-glutamyltransferase 5
ENSG00000099991,-1,0,0,23523,CABIN1,calcineurin binding protein 1
ENSG00000272955,1,0,0,,,
ENSG00000235231,1,0,0,,,
ENSG00000240972,1,0,0,4282,MIF,macrophage migration inhibitory factor
ENSG00000099958,0,0,1,91319,DERL3,derlin 3
ENSG00000099953,-1,0,0,4320,MMP11,matrix metallopeptidase 11
ENSG00000187792,-1,0,0,7621,ZNF70,zinc finger protein 70
ENSG00000133519,-1,0,0,,,
ENSG00000186716,-1,0,0,613,BCR,BCR activator of RhoGEF and GTPase
ENSG00000100228,-1,0,0,9609,RAB36,"RAB36, member RAS oncogene family"
ENSG00000128266,-1,0,0,2781,GNAZ,G protein subunit alpha z
ENSG00000100218,1,0,0,27156,RSPH14,radial spoke head 14 homolog
ENSG00000100038,-1,0,0,8940,TOP3B,DNA topoisomerase III beta
ENSG00000100034,-1,0,0,9647,PPM1F,"protein phosphatase, Mg2+/Mn2+ dependent 1F"
ENSG00000100030,-1,0,0,5594,MAPK1,mitogen-activated protein kinase 1
ENSG00000100023,-1,0,0,23759,PPIL2,peptidylprolyl isomerase like 2
ENSG00000206140,1,0,0,645426,TMEM191C,transmembrane protein 191C
ENSG00000169635,-1,0,0,23119,HIC2,HIC ZBTB transcriptional repressor 2
ENSG00000230513,1,0,0,439931,THAP7-AS1,THAP7 antisense RNA 1
ENSG00000099949,-1,0,0,8216,LZTR1,leucine zipper like transcription regulator 1
ENSG00000183773,1,0,0,150209,AIFM3,apoptosis inducing factor mitochondria associated 3
ENSG00000099942,-1,0,0,1399,CRKL,"CRK like proto-oncogene, adaptor protein"
ENSG00000241973,-1,0,0,5297,PI4KA,phosphatidylinositol 4-kinase alpha
ENSG00000099917,-1,0,0,51586,MED15,mediator complex subunit 15
ENSG00000215493,-1,0,0,,,
ENSG00000185252,-1,0,0,7625,ZNF74,zinc finger protein 74
ENSG00000215513,-1,0,0,,,
ENSG00000206176,1,0,0,,,
ENSG00000040608,-1,0,0,65078,RTN4R,reticulon 4 receptor
ENSG00000099904,-1,0,0,29801,ZDHHC8,zinc finger DHHC-type containing 8
ENSG00000128191,-1,0,0,54487,DGCR8,DGCR8 microprocessor complex subunit
ENSG00000099889,-1,0,0,421,ARVCF,ARVCF delta catenin family member
ENSG00000215012,-1,0,0,79680,RTL10,retrotransposon Gag like 10
ENSG00000235776,1,0,0,,,
ENSG00000184702,-1,0,0,5413,SEPTIN5,septin 5
ENSG00000070010,1,0,0,7353,UFD1,ubiquitin recognition factor in ER associated degradation 1
ENSG00000100084,-1,0,0,7290,HIRA,histone cell cycle regulator
ENSG00000070413,-1,0,0,9993,DGCR2,DiGeorge syndrome critical region gene 2
ENSG00000237517,0,0,1,,,
ENSG00000215193,-1,0,0,55670,PEX26,peroxisomal biogenesis factor 26
ENSG00000243156,-1,0,0,57553,MICAL3,"microtubule associated monooxygenase, calponin and LIM domain containing 3"
ENSG00000177663,-1,0,0,23765,IL17RA,interleukin 17 receptor A
ENSG00000100181,0,0,1,112268292,LOC112268292,uncharacterized LOC112268292
ENSG00000100181,0,0,1,387590,TPTEP1,TPTE pseudogene 1
ENSG00000225255,1,0,0,106146148,LINC01297,long intergenic non-protein coding RNA 1297
ENSG00000223875,1,0,0,,,
ENSG00000215414,1,0,0,,,
ENSG00000099725,-1,0,0,5616,PRKY,protein kinase Y-linked (pseudogene)
ENSG00000235175,1,0,0,,,
ENSG00000213753,-1,0,0,65996,CENPBD1P1,CENPB DNA-binding domains containing 1 pseudogene 1
ENSG00000099326,-1,0,0,7593,MZF1,myeloid zinc finger 1
ENSG00000119574,-1,0,0,84878,ZBTB45,zinc finger and BTB domain containing 45
ENSG00000083807,1,0,0,10998,SLC27A5,solute carrier family 27 member 5
ENSG00000083838,-1,0,0,55663,ZNF446,zinc finger protein 446
ENSG00000083812,-1,0,0,25799,ZNF324,zinc finger protein 324
ENSG00000249471,-1,0,0,388569,ZNF324B,zinc finger protein 324B
ENSG00000083845,1,0,0,6193,RPS5,ribosomal protein S5
ENSG00000174586,-1,0,0,162968,ZNF497,zinc finger protein 497
ENSG00000268516,0,0,1,105372482,LOC105372482,uncharacterized LOC105372482
ENSG00000268660,-1,0,0,,,
ENSG00000176593,0,0,1,100128398,LOC100128398,uncharacterized LOC100128398
ENSG00000178935,1,0,0,79818,ZNF552,zinc finger protein 552
ENSG00000121417,-1,0,0,10520,ZNF211,zinc finger protein 211
ENSG00000256060,1,0,0,10597,TRAPPC2B,trafficking protein particle complex 2B
ENSG00000267871,1,0,0,105372476,ZNF460-AS1,ZNF460 antisense RNA 1
ENSG00000197213,-1,0,0,342933,ZSCAN5B,zinc finger and SCAN domain containing 5B
ENSG00000167685,-1,0,0,55311,ZNF444,zinc finger protein 444
ENSG00000142409,-1,0,0,126208,ZNF787,zinc finger protein 787
ENSG00000063245,-1,0,0,29924,EPN1,epsin 1
ENSG00000179922,-1,0,0,147808,ZNF784,zinc finger protein 784
ENSG00000261221,-1,0,0,100507290,ZNF865,zinc finger protein 865
ENSG00000179943,-1,0,0,84922,FIZ1,FLT3 interacting zinc finger 1
ENSG00000218891,-1,0,0,163033,ZNF579,zinc finger protein 579
ENSG00000179954,0,0,1,284297,SSC5D,scavenger receptor cysteine rich family member with 5 domains
ENSG00000197483,-1,0,0,89887,ZNF628,zinc finger protein 628
ENSG00000160469,-1,0,0,84446,BRSK1,BR serine/threonine kinase 1
ENSG00000105063,-1,0,0,22870,PPP6R1,protein phosphatase 6 regulatory subunit 1
ENSG00000125503,-1,0,0,54776,PPP1R12C,protein phosphatase 1 regulatory subunit 12C
ENSG00000131037,0,0,1,54869,EPS8L1,EPS8 like 1
ENSG00000160439,0,0,1,112724,RDH13,retinol dehydrogenase 13
ENSG00000125505,-1,0,0,79143,MBOAT7,membrane bound O-acyltransferase domain containing 7
ENSG00000088038,-1,0,0,4849,CNOT3,CCR4-NOT transcription complex subunit 3
ENSG00000170906,1,0,0,4696,NDUFA3,NADH:ubiquinone oxidoreductase subunit A3
ENSG00000269608,1,0,0,,,
ENSG00000130844,1,0,0,55422,ZNF331,zinc finger protein 331
ENSG00000267809,1,0,0,,,
ENSG00000167766,1,0,0,55769,ZNF83,zinc finger protein 83
ENSG00000167562,1,0,0,55762,ZNF701,zinc finger protein 701
